tweets,quote_status,language,favorite_count,retweet_count,time,processed_text,cleaned_tweets
"@colessmile1 @BugheadUpdates Awwww, you just made my day so much better. I've been thinking about bughead the whole day. I don't like Archie and Betty together. Jug and betty for life!!! That's the way it should be",False,en,0,0,2021-02-26 18:43:00,"['awwww', 'made', 'day', 'much', 'better', 'thinking', 'bughead', 'whole', 'day', 'like', 'archie', 'betty', 'together', 'jug', 'betty', 'life', 'way']",awwww made day much better thinking bughead whole day like archie betty together jug betty life way
bughead: https://t.co/8Bg0LnSzI9,False,en,0,0,2021-02-26 18:41:04,['bughead'],bughead
"RT @sofia_cole4: 👫🔥 bughead is dead and should never come back. my baby deserves something real. Tabitha is the real deal, and jughead hasn…",True,en,0,1,2021-02-26 18:39:24,"['bughead', 'dead', 'never', 'come', 'back', 'baby', 'deserves', 'something', 'real', 'tabitha', 'real', 'deal', 'jughead']",bughead dead never come back baby deserves something real tabitha real deal jughead
"👫🔥 bughead is dead and should never come back. my baby deserves something real. Tabitha is the real deal, and jughead hasnt looked this lighthearted all the past 4 seasons. @WriterRAS keep barchie, jughead deserves better than both of those sociopaths BUT jabitha stays! https://t.co/RCWoFUdSpY",True,en,6,1,2021-02-26 18:37:48,"['bughead', 'dead', 'never', 'come', 'back', 'baby', 'deserves', 'something', 'real', 'tabitha', 'real', 'deal', 'jughead', 'hasnt', 'looked', 'lighthearted', 'past', '4', 'seasons', 'keep', 'barchie', 'jughead', 'deserves', 'better', 'sociopaths', 'jabitha', 'stays']",bughead dead never come back baby deserves something real tabitha real deal jughead hasnt looked lighthearted past 4 seasons keep barchie jughead deserves better sociopaths jabitha stays
"one more thing, when barchie gets in a confirmed relationship THEN we can start comparing and contrasting to varchie and bughead. NOT now when they’re in a literal fwb situation😭",False,en,59,5,2021-02-26 18:37:22,"['one', 'thing', 'barchie', 'gets', 'confirmed', 'relationship', 'start', 'comparing', 'contrasting', 'varchie', 'bughead', 'literal', 'fwb', 'situation']",one thing barchie gets confirmed relationship start comparing contrasting varchie bughead literal fwb situation
"@classyreinhart I’m 100% convinced they’re a BH/VA stan. They barely post about their ship, their entire issue mainly contains th QTing Bughead and Varchies to spread hate.",False,en,1,0,2021-02-26 18:37:04,"['100', 'convinced', 'bh', 'va', 'stan', 'barely', 'post', 'ship', 'entire', 'issue', 'mainly', 'contains', 'th', 'qting', 'bughead', 'varchies', 'spread', 'hate']",100 convinced bh va stan barely post ship entire issue mainly contains th qting bughead varchies spread hate
anyways #bughead / #sprousehart was real unlike barchie and their 3 s€x scenes 😒 and they probably gonna end after a few eps wbk 😂 so stay mad idc #BUGHEADENDGAME https://t.co/lmRwBeoIeK,False,en,1,0,2021-02-26 18:36:51,"['anyways', 'bughead', 'sprousehart', 'real', 'unlike', 'barchie', '3', 'x', 'scenes', 'probably', 'gonna', 'end', 'eps', 'wbk', 'stay', 'mad', 'idc', 'bugheadendgame']",anyways bughead sprousehart real unlike barchie 3 x scenes probably gonna end eps wbk stay mad idc bugheadendgame
"i have a confession to make,,,,,,,,,,,,,, i used to have a riverdale fanpage on insta and i shipped bughead 🧍🧍",False,en,6,0,2021-02-26 18:35:16,"['confession', 'make', 'used', 'riverdale', 'fanpage', 'insta', 'shipped', 'bughead']",confession make used riverdale fanpage insta shipped bughead
RT @barchiesupreme: This u? @ bughead stans https://t.co/ObwRcXzp4o,True,en,0,1,2021-02-26 18:34:43,"['u', 'bughead', 'stans']",u bughead stans
This u? @ bughead stans https://t.co/nrpIlT0nIS https://t.co/ObwRcXzp4o,True,en,2,1,2021-02-26 18:31:24,"['u', 'bughead', 'stans']",u bughead stans
